date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20140210,120.78,121.82,122.18,118.96,3.99,122.76,122.425,116.1035,2.41,1.737,1.346,54.03369545,66.06209719,29.97689196,34.677,59.284,84.511,-2.303,0.034,4.429,50,58.333,22.83485587,3.7985,120.3406667
20140211,121.86,120.73,123.25,120.09,4.73,121.82,123.067,116.7165,2.349,1.86,0.979,44.24941399,58.79120279,15.16583638,36.086,55.695,71.372,-0.612,0.065,5.168,58.333,56.944,30.11481661,3.8585,120.6401667
20140212,121.96,122,122.7,121.19,2.12,121.3,123.066,117.387,2.282,1.944,0.676,38.01024762,51.86421773,10.3023074,36.219,74.468,67.672,0.096,-0.31,4.974,58.333,55.556,25.69367556,3.79,120.7757083
20140213,123.34,121.85,125.81,121.83,4.24,121.932,123.21,118.1295,2.314,2.018,0.592,37.765697,47.16471082,18.96766935,38.074,62.723,36.058,1.398,0.278,5.759,58.333,55.556,53.24376438,3.8435,121.2884167
20140214,129.91,123.08,130,123.08,7.42,123.57,123.883,119.2035,2.837,2.182,1.31,58.23872553,50.85604906,73.00407848,45.891,6.809,0.815,5.394,5.055,10.595,58.333,56.944,132.5109061,4.0815,122.7985833
20140217,136.35,131,137.26,131,9.62,126.684,124.722,120.5715,3.727,2.491,2.473,70.50159116,57.40456309,96.69564729,52.078,4.973,4.973,8.473,9.199,14.987,66.667,58.333,230.0308995,4.3015,125.250375
20140218,133.65,135.85,135.85,132.84,3.7,129.042,125.431,121.74,4.168,2.826,2.683,73.75880212,62.8559761,95.56445416,49.597,19.727,21.025,4.541,6.294,11.725,58.333,59.722,163.0064402,4.3455,127.1560417
20140219,135.94,133.68,138.16,133.68,3.46,131.838,126.569,123.139,4.648,3.191,2.914,78.65170141,68.12121787,99.7126685,51.636,11.562,13.082,4.415,7.547,12.563,58.333,59.722,152.7579528,4.423,128.7612083
20140220,135.45,135.91,137.8,134.55,2.55,134.26,128.096,124.3665,4.932,3.539,2.786,81.06293983,72.43512519,98.31856911,51.174,14.115,16.595,2.273,6.535,11.121,58.333,59.722,124.5274405,4.4165,129.740375
20140221,135.53,134.55,136.5,134.35,3.75,135.384,129.477,125.675,5.104,3.852,2.505,82.52378981,75.7980134,95.97534263,51.248,13.698,17.44,0.787,5.837,10.187,66.667,61.111,95.68316025,4.409,130.960625
20140224,134.2,135.55,137.35,132.37,3.43,134.954,130.819,126.622,5.075,4.097,1.958,80.57076068,77.38892916,86.93442372,49.929,21.915,55.307,-0.73,3.851,8.229,66.667,62.5,72.01013469,4.3395,131.5232083
20140225,129.43,134.55,134.91,128.18,5.09,134.11,131.576,127.3215,4.614,4.2,0.828,69.22721053,74.66835628,58.34491902,45.542,51.444,87.475,-3.434,-0.336,3.634,58.333,61.111,25.45213471,4.5235,131.0687083
